,model,var,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
10,TCJA_TMD_immig##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20##immig_mil##2,diff_rev,-0.26988697316574245,-0.28712952595799124,-0.2959779055435201,-0.31014635075403196,-0.32399022973791797,-0.3366613662432289,-0.34906391370671563,-0.36398131312256005,-0.38049044615300137,-0.39684865044407813
11,TCJA_TMD_immig##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20##immig_mil##2,diff_spend,0.11749811043094117,0.1238695053422861,0.1316165758936578,0.13895707076394262,0.14472595902739407,0.1504231648177388,0.156112428868077,0.1614379464553722,0.16615797439236354,0.16977273397408912
12,TCJA_TMD_spend##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20##spend##0.05,diff_rev,-0.31041577919485097,-0.3303822891979221,-0.34123840779832876,-0.3576948555059905,-0.3736712013799285,-0.3882487392706995,-0.4024636550667173,-0.4195907758236241,-0.43849625871518466,-0.4571422963566241
13,TCJA_TMD_spend##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20##spend##0.05,diff_spend,-0.2910135035640399,-0.6572731799966126,-1.0305050270184268,-1.432773303791667,-1.4948316890844497,-1.5639835846539165,-1.6403615627757717,-1.722047542523771,-1.8066093572408297,-1.8892712518785089
14,TCJA_TMD_spend##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20##spend##0.1,diff_rev,-0.31086804875633406,-0.33087108692052164,-0.34166783142392865,-0.35798336679739134,-0.37372299470723785,-0.38803266923277674,-0.40194823421982656,-0.41873695482033574,-0.43725893181204245,-0.45547668683182224
15,TCJA_TMD_spend##frisch##0.4##zeta_D##0.4##g_y_annual##0.02##tG1##20##spend##0.1,diff_spend,-0.6505198558563008,-1.3483068111055403,-2.024991698175473,-2.722327196710219,-2.8389460918779457,-2.968411502422168,-3.11108518894923,-3.2631321633936685,-3.419911851987132,-3.572313523036875
16,TCJA_TMD_prod##frisch##0.4##zeta_D##0.4##Z##1.02##tG1##20,diff_rev,-0.24248248838865177,-0.10510433525669662,0.04185769740089465,0.2220397199404311,0.4303439169277882,0.6685064570409498,0.9421462992106377,1.268078736908336,1.6603674935109856,2.13127195730111
17,TCJA_TMD_prod##frisch##0.4##zeta_D##0.4##Z##1.02##tG1##20,diff_spend,0.15091832451896747,0.33664605543300186,0.5261556174733929,0.7773081042673868,1.0663368882159006,1.4075722559393369,1.813613881656298,2.2985883627017953,2.8803332684542267,3.5785037269668196
18,TCJA_TMD_prod##frisch##0.4##zeta_D##0.4##Z##1.04##tG1##20,diff_rev,-0.18605602653683007,0.1062504767032917,0.44341099795533245,0.8417897929112971,1.309853123838205,1.8566666138955374,2.50318630413803,3.300300556281025,4.2931121536652075,5.524879725087197
19,TCJA_TMD_prod##frisch##0.4##zeta_D##0.4##Z##1.04##tG1##20,diff_spend,0.2199483047448513,0.585827203956757,1.0174498831464684,1.5492563801640136,2.1756344964940992,2.936236137863381,3.869077066434071,5.020707294621536,6.451964257609727,8.232868814167919
