YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2036,1.035388525473696,1.0048047756185285,1.026239281686843,1.02,1.014443,1.027437235043,1.0298112045073977,1.0297703427009952,1.029705,1.029722,1.0387445264091295,1.0404616101544242,1.0395312505099525,1.0290093909938998,1.029528,1.0532188420154285,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2037,1.0350380526115992,1.004940858535401,1.0263782669859216,1.02,1.014443,1.02757638345605,1.0299506740998376,1.029909806759431,1.029705,1.029722,1.0366607964755044,1.038748155919077,1.0378193284105897,1.0300669354076688,1.029528,1.0511060764874576,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2038,1.0348179587245945,1.0051047841758605,1.02654568822638,1.02,1.014443,1.0277440021742272,1.0301186793336379,1.0300778053269635,1.029705,1.029722,1.0350993906335089,1.0374981442995304,1.0365704345260507,1.030928704544079,1.029528,1.049522913340974,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2039,1.0346547320339232,1.0052476343904555,1.026691584340201,1.02,1.014443,1.0278900708323047,1.0302650846405448,1.0302242048246646,1.029705,1.029722,1.0338867779788505,1.0365488537701868,1.0356219928330226,1.0316304654755195,1.029528,1.0482934036169926,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2040,1.0345387731235272,1.0053843943282774,1.0268312607073138,1.02,1.014443,1.0280299117589826,1.0304052481028554,1.0303643627254389,1.029705,1.029722,1.0329166401511458,1.035810818894621,1.0348846178932563,1.0322164264960807,1.029528,1.0473097474691015,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2041,1.0344431531703242,1.0055026108361194,1.026951998782009,1.02,1.014443,1.0281507911442564,1.030526406647567,1.0304855164627091,1.029705,1.029722,1.0321094267374713,1.0352155388683928,1.03428987015434,1.03271399381402,1.029528,1.0464912859945092,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2042,1.0343643670279152,1.0056089793584422,1.0270606377079106,1.02,1.014443,1.0282595547055091,1.0306354223476841,1.0305945278372,1.029705,1.029722,1.03142354996658,1.0347276780340282,1.033802445555227,1.0331488848802033,1.029528,1.0457958519199726,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2043,1.034275552210916,1.0056767274186835,1.0271298330753482,1.02,1.014443,1.0283288274429685,1.0307048564439516,1.0306639591783968,1.029705,1.029722,1.0308325976525714,1.0343204351522637,1.033395566821778,1.033517733470088,1.029528,1.0451966650207662,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2044,1.0341795327890095,1.0057172858437102,1.0271712590359818,1.02,1.014443,1.0283702979729221,1.0307464242405455,1.0307055253256252,1.029705,1.029722,1.0303065114011989,1.0339693280827698,1.033044773705096,1.0338385703680892,1.029528,1.0446632480559748,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2045,1.034058191149679,1.0057192100177368,1.027173227537457,1.02,1.014443,1.0283722634672863,1.0307483963012083,1.0307074973080386,1.029705,1.029722,1.0298036524759224,1.0336378373452126,1.0327135793798254,1.0341217034458006,1.029528,1.0441533820768898,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
