YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2036,1.0351061496052159,1.0076283244693276,1.0291230694053595,1.02,1.014443,1.0303243779283078,1.0327050226037906,1.0326640459737833,1.029705,1.029722,1.027827836785613,1.0319180104911998,1.0309952903600632,1.0372259271039599,1.029528,1.0421500345159864,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2037,1.035068112872678,1.0075791876888982,1.0290728921233985,1.02,1.014443,1.0302741296476299,1.0326546629635225,1.0326136883317318,1.029705,1.029722,1.0278391189514409,1.0319459505919777,1.0310232054773703,1.037156209284489,1.029528,1.0421614738923937,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2038,1.0350306331567238,1.0075342975458934,1.0290270411263183,1.02,1.014443,1.0302282303939825,1.0326086556461214,1.0325676828398518,1.029705,1.029722,1.0278397104260983,1.0319705943788067,1.0310478272282255,1.0370959167224638,1.029528,1.042162073608915,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2039,1.034986360709046,1.007485709669267,1.0289774148483626,1.02,1.014443,1.030178549297407,1.0325588585701446,1.0325178877397698,1.029705,1.029722,1.0278249478743975,1.0319867952063566,1.0310640135693243,1.0370422279391167,1.029528,1.0421471053494322,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2040,1.0349369129673556,1.0074346537529566,1.0289252706896763,1.02,1.014443,1.0301263428419336,1.032506532032743,1.032465563278629,1.029705,1.029722,1.027797841355498,1.0319986584044938,1.0310758661596306,1.036992898027645,1.029528,1.0421196211165717,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2041,1.0348803497341252,1.0073793504289656,1.0288687887329995,1.02,1.014443,1.0300697931765161,1.0324498523830494,1.0324088858779235,1.029705,1.029722,1.0277559356050934,1.032004656316808,1.0310818587087334,1.0369478627419995,1.029528,1.042077131433312,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2042,1.0348143560516674,1.0073173376253126,1.0288054537782871,1.02,1.014443,1.030006383146712,1.032386296275859,1.0323453322925713,1.029705,1.029722,1.027697257461557,1.0320024150233624,1.031079619419407,1.0369069821475316,1.029528,1.0420176356431385,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2043,1.034736083491035,1.0072456526873617,1.0287322414008184,1.02,1.014443,1.0299330824862787,1.0323128273253845,1.0322718662572663,1.029705,1.029722,1.0276185993773002,1.0319873376471589,1.031064555525087,1.0368705008871246,1.029528,1.041937881503107,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2044,1.034640815552314,1.0071599321453744,1.0286446942224863,1.02,1.014443,1.0298454299507438,1.0322249734688573,1.032184015886686,1.029705,1.029722,1.0275142741141465,1.0319542580286638,1.0310315054857153,1.0368387519053575,1.029528,1.0418321025266042,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2045,1.034520795837519,1.0070532935519976,1.0285357831194168,1.02,1.014443,1.0297363879847359,1.0321156809764678,1.0320747277309055,1.029705,1.029722,1.0273748538064034,1.0318962498183375,1.0309735491451526,1.0368126066893009,1.029528,1.0416907394759778,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2046,1.0366518377087541,1.0097687966579514,1.0313092042531158,1.02,1.014443,1.0325130613335458,1.0348987644094305,1.0348577007340964,1.029705,1.029722,1.0267672126922645,1.0321630545187201,1.0312401152741897,1.0387405796445734,1.029528,1.0410746312276804,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2047,1.036458254626963,1.0096809149714068,1.031219444692564,1.02,1.014443,1.0324232021378295,1.034808695624259,1.034767635522758,1.029705,1.029722,1.0263252012297803,1.0322229180269125,1.0312999252536488,1.0387247113102342,1.029528,1.0406264605862579,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2048,1.0362997386358705,1.0095951299980395,1.0311318274631782,1.02,1.014443,1.0323354863335998,1.0347207757328576,1.0346797191199235,1.029705,1.029722,1.0260408089803594,1.0322861836796802,1.0313631343355545,1.038691050940792,1.029528,1.0403381054922014,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2049,1.0361677832210776,1.0095098042149917,1.0310446784498728,1.02,1.014443,1.0322482405365314,1.0346333264595777,1.0345922733165374,1.029705,1.029722,1.02586948400376,1.032343251045097,1.0314201506724918,1.038644861141524,1.029528,1.0401643931992606,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2050,1.03605660253995,1.0094239940027274,1.0309570359236226,1.02,1.014443,1.0321604986290986,1.0345453807011626,1.0345043310477158,1.029705,1.029722,1.0257808278865805,1.032390033033439,1.0314668908293299,1.0385895666057183,1.029528,1.0400745017093902,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2051,1.0359623076411129,1.0093385818626561,1.0308698007195884,1.02,1.014443,1.0320731632931888,1.0344578429217046,1.034416796741663,1.029705,1.029722,1.025750852129828,1.032425993723321,1.0315028193638929,1.038528390106624,1.029528,1.0400441082574752,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2052,1.0358819967939803,1.0092545636129426,1.0307839895426922,1.02,1.014443,1.031987252996242,1.0343717337221492,1.0343306909588286,1.029705,1.029722,1.025761899841517,1.0324516818390697,1.0315284845098502,1.0384637854047598,1.029528,1.0400553099127583,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2053,1.0358131639889985,1.009173726060835,1.0307014270015717,1.02,1.014443,1.0319045949858088,1.0342888843777538,1.0342478449018067,1.029705,1.029722,1.0257980033644196,1.0324678992804746,1.0315446874499483,1.0383981425282973,1.029528,1.040091916517768,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2054,1.0357540233693343,1.0090955043595742,1.030621536178744,1.02,1.014443,1.031824611705569,1.034208715984501,1.0341676796895498,1.029705,1.029722,1.0258527578222238,1.0324751618795136,1.031551943554919,1.038332231891129,1.029528,1.0401474339478747,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2055,1.0357032939970092,1.0090201291897196,1.0305445528304096,1.02,1.014443,1.0317475389366944,1.0341314649638635,1.0340904317341502,1.029705,1.029722,1.0259207311125151,1.032475256783124,1.0315520383736683,1.0382670407400516,1.029528,1.0402163544073992,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2056,1.0356592917790974,1.0089486093547453,1.030471507078082,1.02,1.014443,1.0316744083294214,1.0340581652252594,1.0340171349040013,1.029705,1.029722,1.0259938668759452,1.032468926970418,1.0315457142209523,1.0382037205394932,1.029528,1.0402905092761963,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2057,1.0356209486810255,1.0088807864299558,1.0304022384610616,1.02,1.014443,1.0316050570634043,1.0339886544013008,1.0339476268381578,1.029705,1.029722,1.0260694063532663,1.0324573821646046,1.0315341797382698,1.0381427396151603,1.029528,1.040367101353274,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2058,1.0355876389740637,1.0088168668939996,1.0303369552820167,1.02,1.014443,1.0315396978570346,1.0339231441092405,1.0338821191454755,1.029705,1.029722,1.0261455119866822,1.0324423719096787,1.031519182905209,1.0380845865453587,1.029528,1.0404442674755103,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2059,1.035558927781087,1.0087572113635759,1.0302760271213776,1.02,1.014443,1.0314786986669902,1.0338620039403916,1.0338209814026031,1.029705,1.029722,1.0262207599579745,1.0324255057938325,1.0315023318707013,1.0380296694336968,1.029528,1.0405205639845876,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2060,1.0355342396289007,1.0087020967680427,1.0302197369921091,1.02,1.014443,1.0314223425517892,1.0338055177160133,1.033764497419538,1.029705,1.029722,1.026293361063609,1.0324075390018954,1.0314843811443046,1.0379782920835074,1.029528,1.0405941767454365,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2061,1.0355129652596935,1.0086515105764244,1.0301680717182655,1.02,1.014443,1.0313706169307473,1.0337536725932732,1.0337126543539568,1.029705,1.029722,1.0263620322152807,1.0323888543396074,1.0314657131894622,1.0379305503268537,1.029528,1.0406638047906436,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2062,1.0354946406823935,1.0086052813485793,1.0301208562623214,1.02,1.014443,1.031323346465354,1.0337062928654237,1.033665276506084,1.029705,1.029722,1.0264263608666877,1.0323700245970506,1.031446900284079,1.037886388810673,1.029528,1.0407290298253087,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2063,1.035478955169002,1.0085632400541713,1.030077918392716,1.02,1.014443,1.0312803580689094,1.033663205295496,1.033622190645825,1.029705,1.029722,1.0264864124444093,1.0323517674839457,1.0314286594961137,1.0378457043264764,1.029528,1.0407899181876936,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2064,1.0354656628317893,1.0085251630143433,1.03003902921665,1.02,1.014443,1.0312414232967768,1.0336241806379696,1.0335831675367553,1.029705,1.029722,1.0265425990351964,1.0323349178424521,1.0314118249212274,1.0378084011079634,1.029528,1.0408468877067436,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2065,1.0354542811241154,1.0084906895454295,1.030003820542541,1.02,1.014443,1.0312061732265214,1.0335888492328975,1.0335478375335956,1.029705,1.029722,1.0265945845974582,1.0323192985324132,1.0313962195776585,1.0377742604820066,1.029528,1.0408995976583197,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2066,1.035444298751281,1.0084594168813588,1.0299718809821061,1.02,1.014443,1.0311741960387943,1.0335567982906286,1.0335157878630736,1.029705,1.029722,1.0266418742070316,1.0323043215836287,1.0313812560209574,1.0377430437971515,1.029528,1.0409475462217712,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2067,1.0354355074681734,1.008431104006253,1.0299429642183737,1.02,1.014443,1.0311452453873782,1.0335277807971581,1.0334867715209863,1.029705,1.029722,1.0266847300341315,1.0322901886775537,1.0313671357522403,1.037714626223148,1.029528,1.0409909992205058,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2068,1.035427946446682,1.0084056965049453,1.0299170151336676,1.02,1.014443,1.0311192653492656,1.0335017409830964,1.0334607327401566,1.029705,1.029722,1.0267237957718247,1.032277486110614,1.031354444543678,1.0376889143634804,1.029528,1.0410306093170887,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2069,1.0354216530039684,1.0083831671521446,1.029894005384553,1.02,1.014443,1.031096228416821,1.0334786509456013,1.0334376436188495,1.029705,1.029722,1.0267595055753302,1.0322664889357946,1.031343457202309,1.0376657662004556,1.029528,1.0410668167164445,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2070,1.0354162498947797,1.008363110634528,1.029873521153547,1.02,1.014443,1.0310757200599192,1.0334580952843762,1.033417088773251,1.029705,1.029722,1.0267915288890779,1.0322563245205345,1.0313333018758624,1.0376448177939677,1.029528,1.0410992862568997,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2071,1.035411495965335,1.0083450815565187,1.0298551077123654,1.02,1.014443,1.0310572847470527,1.03343961751935,1.033398611741403,1.029705,1.029722,1.0268202735899858,1.032246878698723,1.0313238645003129,1.0376257977306673,1.029528,1.0411284314989055,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2072,1.0354072536438599,1.0083287458880987,1.0298384238255698,1.02,1.014443,1.031040580973622,1.0334228753075494,1.033381870193915,1.029705,1.029722,1.0268463099903014,1.0322383845883318,1.031315377985183,1.0376085564584656,1.029528,1.041154830701687,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2073,1.035403395828135,1.0083138228316184,1.0298231826975792,1.02,1.014443,1.0310253216221228,1.033407580863154,1.0333665763563868,1.029705,1.029722,1.0268701343086182,1.0322311268868352,1.0313081267733755,1.037592980899058,1.029528,1.0411789869983616,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2074,1.035400060080764,1.0083003126460741,1.029809384558011,1.02,1.014443,1.0310115069788768,1.033393734451606,1.0333527304942496,1.029705,1.029722,1.0268925405626084,1.0322259102626248,1.0313029148137645,1.0375790876922164,1.029528,1.0412017054707883,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
